CustomerID,LastTransactionDate,DaysSinceLastTransaction,Status,TransactionCount,TotalSpent
16250,2011-03-23,261,Churned,24.0,389.44000000000005
15574,2011-06-15,177,Churned,168.0,702.2500000000001
15555,2011-11-27,12,Active,899.0,4805.169999999989
15271,2011-12-02,7,Active,274.0,2507.070000000002
17714,2011-01-23,320,Churned,10.0,153.0
17686,2011-12-02,7,Active,286.0,5739.460000000007
13865,2011-10-12,58,Active,30.0,501.56
14157,2011-11-20,19,Active,48.0,432.88000000000017
13610,2011-11-27,12,Active,226.0,1131.8800000000006
13772,2011-11-06,33,Active,177.0,1132.13
13282,2011-11-21,18,Active,37.0,1132.1399999999999
12394,2011-10-07,63,Active,27.0,1272.48
16320,2011-06-20,172,Churned,56.0,1038.46
13192,2011-09-05,95,Churned,63.0,911.9400000000002
14887,2011-09-21,79,Active,6.0,1862.0
17506,2011-09-25,75,Active,14.0,302.2
17427,2011-09-29,71,Active,2.0,100.8
18130,2011-11-24,15,Active,70.0,1059.3900000000003
16504,2011-11-14,25,Active,86.0,484.37999999999977
15269,2011-11-16,23,Active,2.0,408.8
12847,2011-11-17,22,Active,91.0,871.5399999999998
15634,2011-11-22,17,Active,15.0,243.55
14204,2011-12-07,2,Active,44.0,161.02999999999997
17757,2011-12-08,1,Active,741.0,5605.289999999994
17551,2010-12-15,359,Churned,43.0,306.84
13187,2011-01-06,337,Churned,37.0,236.01999999999995
16549,2011-11-29,10,Active,981.0,4154.639999999994
12637,2011-10-03,67,Active,390.0,6021.900000000001
15052,2011-01-24,319,Churned,30.0,215.78
15448,2011-01-31,312,Churned,28.0,494.64000000000004
13985,2011-12-05,4,Active,349.0,7060.130000000006
12888,2011-05-09,214,Churned,5.0,354.12
16639,2011-11-08,31,Active,50.0,1257.5099999999998
17866,2011-07-20,142,Churned,9.0,329.65
15947,2011-09-18,82,Active,29.0,1708.2400000000002
14218,2011-10-28,42,Active,12.0,169.48000000000002
14974,2011-11-02,37,Active,21.0,114.39
17835,2011-12-07,2,Active,61.0,350.63999999999993
15539,2011-12-02,7,Active,41.0,538.46
14525,2011-11-20,19,Active,291.0,4332.199999999996
18283,2011-12-06,3,Active,756.0,2094.880000000003
13107,2011-10-26,44,Active,58.0,1531.6200000000003
16303,2011-11-14,25,Active,162.0,5360.63
17256,2011-08-24,107,Churned,16.0,239.99999999999997
16027,2011-09-09,91,Churned,16.0,934.62
12811,2011-03-24,260,Churned,31.0,514.85
16619,2011-03-21,263,Churned,14.0,226.21
17438,2011-03-31,253,Churned,17.0,388.45000000000005
14000,2011-05-12,211,Churned,15.0,635.6600000000001
13395,2011-06-07,185,Churned,21.0,307.72
15041,2011-06-22,170,Churned,67.0,180.35000000000002
17024,2011-10-25,45,Active,3.0,95.85
14552,2011-07-11,151,Churned,58.0,165.07000000000005
12750,2011-08-03,128,Churned,15.0,275.88
16340,2011-08-24,107,Churned,153.0,549.0699999999998
13866,2011-09-26,74,Active,7.0,145.67
15478,2011-10-30,40,Active,46.0,1441.4199999999996
16413,2011-10-14,56,Active,31.0,262.20000000000005
13460,2011-11-10,29,Active,17.0,183.44
18276,2011-10-27,43,Active,14.0,335.8599999999999
17839,2011-10-28,42,Active,56.0,338.80000000000007
17901,2011-11-10,29,Active,19.0,110.38000000000001
13170,2011-11-13,26,Active,32.0,116.01000000000002
15435,2011-11-17,22,Active,29.0,149.29000000000005
13174,2011-11-23,16,Active,314.0,2817.0300000000007
13027,2011-08-18,113,Churned,26.0,6912.0
12957,2011-11-30,9,Active,238.0,4017.5400000000027
17128,2011-01-09,334,Churned,14.0,157.09
14439,2011-01-24,319,Churned,32.0,2661.24
13133,2011-03-11,273,Churned,7.0,109.80000000000001
18211,2011-11-14,25,Active,42.0,600.07
15433,2011-05-10,213,Churned,41.0,533.2999999999998
16253,2011-10-04,66,Active,123.0,3683.8599999999983
17886,2011-11-08,31,Active,109.0,899.6099999999999
13122,2011-09-06,94,Churned,55.0,922.3900000000002
17718,2011-04-21,232,Churned,6.0,139.35
14340,2011-05-05,218,Churned,6.0,134.7
14697,2011-05-05,218,Churned,22.0,188.60999999999996
14649,2011-12-05,4,Active,199.0,1417.2899999999997
12710,2011-09-04,96,Churned,77.0,1149.0200000000007
17715,2011-05-23,200,One-Time Customer,1.0,326.4
14963,2011-11-30,9,Active,198.0,1487.8000000000013
12816,2011-09-05,95,Churned,29.0,572.2
17660,2011-07-21,141,Churned,45.0,196.0
13805,2011-10-18,52,Active,13.0,924.5999999999999
17584,2011-12-02,7,Active,35.0,1242.3000000000002
16093,2011-08-25,106,One-Time Customer,1.0,17.0
15277,2011-10-24,46,Active,12.0,255.89999999999998
17545,2011-10-27,43,Active,145.0,645.9599999999999
17947,2011-11-02,37,Active,9.0,176.68
14810,2011-10-30,40,Active,255.0,2087.879999999999
16654,2011-07-21,141,Churned,29.0,601.2699999999999
17491,2011-12-08,1,Active,109.0,3558.8700000000003
17917,2011-10-25,45,Active,94.0,341.2799999999999
14639,2011-10-18,52,Active,172.0,2984.4900000000025
17375,2011-05-24,199,Churned,69.0,400.09999999999985
18106,2011-01-14,329,Churned,39.0,430.6999999999999
13700,2011-11-13,26,Active,197.0,2265.119999999999
16133,2011-12-06,3,Active,338.0,14589.039999999997
13655,2011-08-17,114,Churned,56.0,932.9700000000004
15829,2011-09-01,99,Churned,51.0,636.14
13276,2011-10-07,63,Active,30.0,590.93
17481,2011-12-06,3,Active,82.0,1255.5900000000006
15488,2011-09-08,92,Churned,2.0,91.32000000000001
13429,2011-11-29,10,Active,67.0,1006.8000000000001
15553,2011-10-10,60,Active,56.0,437.22999999999985
16826,2011-10-19,51,Active,22.0,341.70000000000005
17274,2011-11-04,35,Active,27.0,111.98000000000002
16185,2011-11-23,16,Active,31.0,529.41
14861,2011-10-18,52,Active,6.0,125.79000000000002
17855,2010-12-02,372,Churned,17.0,208.96999999999997
